nama_tempat,user,review,rating
Tjoritja / West MacDonnell National Park,scott vincent,"Brilliant, well worth the drive.",5
Tjoritja / West MacDonnell National Park,Janette Garratt,"Beautiful,  quiet,   clean, great  walks",5
Tjoritja / West MacDonnell National Park,Andrew Mott,"Tourism is cashing in, spoiling the natural experience.",4
Tjoritja / West MacDonnell National Park,Gary D,"Nice & peaceful  , nice scenery",4
Tjoritja / West MacDonnell National Park,Gerrit Ravenhorst,Toliet fithy park itself was great,2
Tjoritja / West MacDonnell National Park,jodi hills,Amazing area.. Amazing scenery..,5
Tjoritja / West MacDonnell National Park,Graeme Reynolds,"Isolated, serene and only 120km from Alice.",5
Tjoritja / West MacDonnell National Park,Bruce Spencer,"Spectacular, can t wait to return",5
Tjoritja / West MacDonnell National Park,Steve S,Nature's Arid Land & Ancient grounds.,5
Tjoritja / West MacDonnell National Park,Aidan Richard,Awesome!,5
Tjoritja / West MacDonnell National Park,Peter Thompson,"Awesome part of Australia,  a must visit",5
Tjoritja / West MacDonnell National Park,owen manners,Dont miss it. Especially simpsons gap,4
Tjoritja / West MacDonnell National Park,bradley farrow,Beautiful,5
Tjoritja / West MacDonnell National Park,sean chamberlin,Stunning gorges and views.,4
Tjoritja / West MacDonnell National Park,Peter Davey,Most of the park facilities are good.,3
Tjoritja / West MacDonnell National Park,Mal Green (Chunky_66),Out west from the alice,5
Tjoritja / West MacDonnell National Park,Scott Donald,Awesome stop for a refreshing dip!,5
Tjoritja / West MacDonnell National Park,Marita Ducklin,Better than Uluru,5
Tjoritja / West MacDonnell National Park,Sheryl Grenfell,It's an amazing place,5
Tjoritja / West MacDonnell National Park,Ian Drury,All good except for Standley Chasm.,4
Tjoritja / West MacDonnell National Park,Madhuri yadav,The most osm place I have ever seen,5
Tjoritja / West MacDonnell National Park,Colin Seddon,A must visit for anyone visiting the Red Centre,5
Tjoritja / West MacDonnell National Park,Brad Hunt,Definitely worth the drive,4
Tjoritja / West MacDonnell National Park,Irene,very pretty place.,4
Tjoritja / West MacDonnell National Park,AU Digga,Start early and avoid the heat of the day,5
Tjoritja / West MacDonnell National Park,Simon Baumer,An Emu wants to know your location,5
Tjoritja / West MacDonnell National Park,Steve C,A must see if your in the area.,5
Tjoritja / West MacDonnell National Park,Happy Me Happy U,Awesome place to be & see,5
Tjoritja / West MacDonnell National Park,Grahame Campbell,The gorges,5
Tjoritja / West MacDonnell National Park,Phil Elvery,A must see when you are in the area.,4
Tjoritja / West MacDonnell National Park,Mark Wilson,Love to go for a swim,5
Tjoritja / West MacDonnell National Park,"The Devil and The Kiwi, Bruce and Greg Detectorists",Just totally awesome,5
Tjoritja / West MacDonnell National Park,Kim Egan,Omg just awesometastic,5
Tjoritja / West MacDonnell National Park,Ros Roxsy,The night sky is amazing,5
Tjoritja / West MacDonnell National Park,Dianne Jackson,Amazing scenery..,5
Tjoritja / West MacDonnell National Park,shane,Great landscape.,5
Tjoritja / West MacDonnell National Park,George Pagacs,Loved it. 😀👍 …,5
Tjoritja / West MacDonnell National Park,Clinton Moore,Wicked spot.cold beer,5
Tjoritja / West MacDonnell National Park,Tracey Dobson,Well worth the visit,5
Tjoritja / West MacDonnell National Park,Jenny Druze,Just beautiful 😍 …,5
Tjoritja / West MacDonnell National Park,fiona ireland,Wonderful will be back,5
Tjoritja / West MacDonnell National Park,Chris walker,Just a natural Beauty,5
Tjoritja / West MacDonnell National Park,Rene Beckers,Great for tourists,5
Tjoritja / West MacDonnell National Park,Samuel Mattock,Must see in the red centre,5
Tjoritja / West MacDonnell National Park,Michelle B,Must see,5
Tjoritja / West MacDonnell National Park,Doug Adamson,Magnificent scenery.,4
Tjoritja / West MacDonnell National Park,Tommy Sunshine,Take drinking water with you,5
Tjoritja / West MacDonnell National Park,Honeysucker,great views,5
Tjoritja / West MacDonnell National Park,Dennis & Alison Bant,"Historic, scenic",5
Tjoritja / West MacDonnell National Park,Alex Neale,Sooo beautiful,5
Tjoritja / West MacDonnell National Park,Arista toz,Im in mars,5
Tjoritja / West MacDonnell National Park,Paula Bent,"Beautiful, Magnificent Australia",5
Tjoritja / West MacDonnell National Park,Rebecca Gilbert-Roberts,Simply amazing,5
Tjoritja / West MacDonnell National Park,Roger Voyle,Awesome!,5
Tjoritja / West MacDonnell National Park,Tim Moore,Desert pearl. Get there.,5
Tjoritja / West MacDonnell National Park,Christina H.,Worth a visit!,5
Tjoritja / West MacDonnell National Park,Tim Jarrett,Spectacular place!,5
Tjoritja / West MacDonnell National Park,Brian Whelan,Beautiful and serine,5
Tjoritja / West MacDonnell National Park,Nilein Perera,Pretty cool,3
Tjoritja / West MacDonnell National Park,Rico Redden,Well.,5
Tjoritja / West MacDonnell National Park,Blank Name,I wanted KFC,Unknown
Tjoritja / West MacDonnell National Park,Fay Hardie,Gorgeous area,4
Tjoritja / West MacDonnell National Park,JOHN VARGHESE,Nice and calm,5
Tjoritja / West MacDonnell National Park,Karen Coster,Lovely place,5
Tjoritja / West MacDonnell National Park,Maree McCormick,It was  excellent,5
Tjoritja / West MacDonnell National Park,Ethan Harty,Beautiful!,5
Tjoritja / West MacDonnell National Park,Elinor Hetzel-Bone,Beautiful,5
